Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8833333333333333,0.84,0.875,0.8571428571428571
Random Forest,0.8833333333333333,0.84,0.875,0.8571428571428571
SVM,0.6666666666666666,0.6428571428571429,0.375,0.47368421052631576
XGBoost,0.8333333333333334,0.75,0.875,0.8076923076923077
